RegionName,State,Metro,CountyName,2018-12
New Haven,CT,New Haven-Milford,New Haven County,1200
Simi Valley,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,1790
Waco,TX,Waco,McLennan County,732.5
Stamford,CT,Bridgeport-Stamford-Norwalk,Fairfield County,2096
Denton,TX,Dallas-Fort Worth-Arlington,Denton County,933
Gainesville,GA,Gainesville,Hall County,1025
Allentown,PA,Allentown-Bethlehem-Easton,Lehigh County,950
Frederick,MD,Washington-Arlington-Alexandria,Frederick County,1167.5
Hartford,CT,Hartford-West Hartford-East Hartford,Hartford County,880
Murrieta,CA,Riverside-San Bernardino-Ontario,Riverside County,1429.5
Temecula,CA,Riverside-San Bernardino-Ontario,Riverside County,1561
Hemet,CA,Riverside-San Bernardino-Ontario,Riverside County,850
Springfield,IL,Springfield,Sangamon County,575
Vallejo,CA,Vallejo-Fairfield,Solano County,1550
Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2587.5
Amherst,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,1156.5
Cedar Rapids,IA,Cedar Rapids,Linn County,525
Falls Church,VA,Washington-Arlington-Alexandria,Fairfax County,1690
Norman,OK,Oklahoma City,Cleveland County,597
Berkeley,CA,San Francisco-Oakland-Hayward,Alameda County,2500
Westminster,CO,Denver-Aurora-Lakewood,Adams County,1400
Richmond,CA,San Francisco-Oakland-Hayward,Contra Costa County,1900
Vista,CA,San Diego-Carlsbad,San Diego County,1652
Arvada,CO,Denver-Aurora-Lakewood,Jefferson County,1495
Charlottesville,VA,Charlottesville,Albemarle County,1096.5
Independence,MO,Kansas City,Jackson County,675
Macon,GA,Macon-Bibb County,Bibb County,741
Tuscaloosa,AL,Tuscaloosa,Tuscaloosa County,700
Concord,NC,Charlotte-Concord-Gastonia,Cabarrus County,1039
Bellingham,WA,Bellingham,Whatcom County,1095
Melbourne,FL,Palm Bay-Melbourne-Titusville,Brevard County,1035
Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange County,2039
Bend,OR,Bend-Redmond,Deschutes County,1392.5
Manchester,NH,Manchester-Nashua,Hillsborough County,1240
Downey,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1450
Ventura,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,1625
North Charleston,SC,Charleston-North Charleston,Charleston County,1045
Lewisville,TX,Dallas-Fort Worth-Arlington,Denton County,1018.5
West Covina,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1809
Bowling Green,KY,Bowling Green,Warren County,675
Delray Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1500
Lowell,MA,Boston-Cambridge-Newton,Middlesex County,1325
Waterbury,CT,New Haven-Milford,New Haven County,750
West Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1650
Carlsbad,CA,San Diego-Carlsbad,San Diego County,2120
Laurel,MD,Washington-Arlington-Alexandria,Prince Georges County,1325
Cambridge,MA,Boston-Cambridge-Newton,Middlesex County,2494.5
Kent,WA,Seattle-Tacoma-Bellevue,King County,1279
Fargo,ND,Fargo,Cass County,655
Riverview,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,1115
Greenville,NC,Greenville,Pitt County,495
Manassas,VA,Washington-Arlington-Alexandria,Prince William County,1383.5
Hillsboro,OR,Portland-Vancouver-Hillsboro,Washington County,1360
Richardson,TX,Dallas-Fort Worth-Arlington,Dallas County,1425
West Chester,PA,Philadelphia-Camden-Wilmington,Chester County,1319
Peoria,IL,Peoria,Peoria County,675
Centennial,CO,Denver-Aurora-Lakewood,Arapahoe County,1680
Springfield,VA,Washington-Arlington-Alexandria,Fairfax County,1585
Fairfield,CA,Vallejo-Fairfield,Solano County,1688
Davenport,IA,Davenport-Moline-Rock Island,Scott County,625
Everett,WA,Seattle-Tacoma-Bellevue,Snohomish County,1263
Pompano Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1295
San Leandro,CA,San Francisco-Oakland-Hayward,Alameda County,1795
Burbank,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1899
Vacaville,CA,Vallejo-Fairfield,Solano County,1754
Albany,NY,Albany-Schenectady-Troy,Albany County,995
Grand Junction,CO,Grand Junction,Mesa County,695
Franklin,TN,Nashville-Davidson--Murfreesboro--Franklin,Williamson County,1310
Longview,TX,Longview,Gregg County,618
San Mateo,CA,San Francisco-Oakland-Hayward,San Mateo County,2744
Edison,NJ,New York-Newark-Jersey City,Middlesex County,1450
Daly City,CA,San Francisco-Oakland-Hayward,San Mateo County,2400
The Woodlands,TX,Houston-The Woodlands-Sugar Land,Montgomery County,1094
Davie,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1541.5
Columbia,MD,Baltimore-Columbia-Towson,Howard County,1546
Lawrence,KS,Lawrence,Douglas County,625
Lynchburg,VA,Lynchburg,Lynchburg City,612.5
League City,TX,Houston-The Woodlands-Sugar Land,Galveston County,1002
Mission Viejo,CA,Los Angeles-Long Beach-Anaheim,Orange County,1825
Erie,PA,Erie,Erie County,550
Sandy,UT,Salt Lake City,Salt Lake County,1225
Wilmington,DE,Philadelphia-Camden-Wilmington,New Castle County,996
Federal Way,WA,Seattle-Tacoma-Bellevue,King County,1175
Bryan,TX,College Station-Bryan,Brazos County,1050
Champaign,IL,Champaign-Urbana,Champaign County,675
Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1395
Johnson City,TN,Johnson City,Washington County,595
Woodstock,GA,Atlanta-Sandy Springs-Roswell,Cherokee County,1222
Brockton,MA,Boston-Cambridge-Newton,Plymouth County,1087.5
Highlands Ranch,CO,Denver-Aurora-Lakewood,Douglas County,1503
Annapolis,MD,Baltimore-Columbia-Towson,Anne Arundel County,1615
New Braunfels,TX,San Antonio-New Braunfels,Comal County,1045
Terre Haute,IN,Terre Haute,Vigo County,500
Ashburn,VA,Washington-Arlington-Alexandria,Loudoun County,1540
Sterling,VA,Washington-Arlington-Alexandria,Loudoun County,1539
Auburn,WA,Seattle-Tacoma-Bellevue,King County,1260
Muncie,IN,Muncie,Delaware County,500
Allen,TX,Dallas-Fort Worth-Arlington,Collin County,1080
Kalamazoo,MI,Kalamazoo-Portage,Kalamazoo County,695
Santa Monica,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3000
Plantation,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1429
Reading,PA,Reading,Berks County,627.5
Loveland,CO,Fort Collins,Larimer County,1271
Cheyenne,WY,Cheyenne,Laramie County,650
Fort Smith,AR,Fort Smith,Sebastian County,425
Lawton,OK,Lawton,Comanche County,570
Roswell,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1183
Orem,UT,Provo-Orem,Utah County,1107
Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1741
Sunrise,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1575
Lynn,MA,Boston-Cambridge-Newton,Essex County,1450
Lees Summit,MO,Kansas City,Jackson County,989
Newnan,GA,Atlanta-Sandy Springs-Roswell,Coweta County,980
San Marcos,CA,San Diego-Carlsbad,San Diego County,1882
Herndon,VA,Washington-Arlington-Alexandria,Fairfax County,1595
Carmel,IN,Indianapolis-Carmel-Anderson,Hamilton County,983
Bothell,WA,Seattle-Tacoma-Bellevue,Snohomish County,1540.5
Newton,MA,Boston-Cambridge-Newton,Middlesex County,1850
Santa Barbara,CA,Santa Maria-Santa Barbara,Santa Barbara County,1995
Lafayette,IN,Lafayette-West Lafayette,Tippecanoe County,724
Leesburg,VA,Washington-Arlington-Alexandria,Loudoun County,1517.5
Duluth,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,1250
Parker,CO,Denver-Aurora-Lakewood,Douglas County,1385
Georgetown,TX,Austin-Round Rock,Williamson County,1203
Arden-Arcade,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,999
Nashua,NH,Manchester-Nashua,Hillsborough County,1369
Redmond,WA,Seattle-Tacoma-Bellevue,King County,1946
Bloomington,IL,Bloomington,McLean County,595
Asheville,NC,Asheville,Buncombe County,1050
Glen Burnie,MD,Baltimore-Columbia-Towson,Anne Arundel County,1150
Pflugerville,TX,Austin-Round Rock,Travis County,1131
Bowie,MD,Washington-Arlington-Alexandria,Prince Georges County,1526
Walnut Creek,CA,San Francisco-Oakland-Hayward,Contra Costa County,2604
Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1350
Fayetteville,AR,Fayetteville-Springdale-Rogers,Washington County,762.5
Bloomington,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1139
Longmont,CO,Boulder,Boulder County,1437.5
Iowa City,IA,Iowa City,Johnson County,750
Bismarck,ND,Bismarck,Burleigh County,750
Alhambra,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1580
Trenton,NJ,Trenton,Mercer County,890
Germantown,MD,Washington-Arlington-Alexandria,Montgomery County,1364.5
Lynnwood,WA,Seattle-Tacoma-Bellevue,Snohomish County,1354
Tustin,CA,Los Angeles-Long Beach-Anaheim,Orange County,1912.5
Ellicott City,MD,Baltimore-Columbia-Towson,Howard County,1235
Spokane Valley,WA,Spokane-Spokane Valley,Spokane County,870.5
Danbury,CT,Bridgeport-Stamford-Norwalk,Fairfield County,1519
Norwalk,CT,Bridgeport-Stamford-Norwalk,Fairfield County,1757.5
Largo,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,980
Gresham,OR,Portland-Vancouver-Hillsboro,Multnomah County,1144
Sanford,FL,Orlando-Kissimmee-Sanford,Seminole County,1162
Quincy,MA,Boston-Cambridge-Newton,Norfolk County,1852.5
Ogden,UT,Ogden-Clearfield,Weber County,700
Johns Creek,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1220
Kirkland,WA,Seattle-Tacoma-Bellevue,King County,1742
Farmington Hills,MI,Detroit-Warren-Dearborn,Oakland County,936
Town 'n' Country,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,1097
Tomball,TX,Houston-The Woodlands-Sugar Land,Harris County,989
Arlington Heights,IL,Chicago-Naperville-Elgin,Cook County,1150
Mount Pleasant,SC,Charleston-North Charleston,Charleston County,1408
Parma,OH,Cleveland-Elyria,Cuyahoga County,762
Upland,CA,Riverside-San Bernardino-Ontario,San Bernardino County,1425
Hoover,AL,Birmingham-Hoover,Jefferson County,800
Schaumburg,IL,Chicago-Naperville-Elgin,Cook County,1285
Lancaster,PA,Lancaster,Lancaster County,795
Lawrence,MA,Boston-Cambridge-Newton,Essex County,1407.5
Apex,NC,Raleigh,Wake County,1034
Somerville,MA,Boston-Cambridge-Newton,Middlesex County,2055
Richmond,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,999
Norcross,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,942
Smyrna,GA,Atlanta-Sandy Springs-Roswell,Cobb County,1154.5
O Fallon,MO,St. Louis,Saint Charles County,1049
San Ramon,CA,San Francisco-Oakland-Hayward,Contra Costa County,1985
Deerfield Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1200
Newport Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,2305
Noblesville,IN,Indianapolis-Carmel-Anderson,Hamilton County,834.5
Evanston,IL,Chicago-Naperville-Elgin,Cook County,1270
Schenectady,NY,Albany-Schenectady-Troy,Schenectady County,980
Avondale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,995
Huntington,WV,Huntington-Ashland,Cabell County,550
Poughkeepsie,NY,New York-Newark-Jersey City,Dutchess County,1000
Folsom,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,1515
Plymouth,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1281
Bethlehem,PA,Allentown-Bethlehem-Easton,Northampton County,1000
Redlands,CA,Riverside-San Bernardino-Ontario,San Bernardino County,1424
Alpharetta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1365.5
Saint Charles,MO,St. Louis,Saint Charles County,815
La Mesa,CA,San Diego-Carlsbad,San Diego County,1660
Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange County,1790
New Rochelle,NY,New York-Newark-Jersey City,Westchester County,1750
New Britain,CT,Hartford-West Hartford-East Hartford,Hartford County,815
Pleasanton,CA,San Francisco-Oakland-Hayward,Alameda County,2284
North Little Rock,AR,Little Rock-North Little Rock-Conway,Pulaski County,733.5
Mooresville,NC,Charlotte-Concord-Gastonia,Iredell County,946
San Marcos,TX,Austin-Round Rock,Hays County,970
Chino Hills,CA,Riverside-San Bernardino-Ontario,San Bernardino County,1787
Bossier City,LA,Shreveport-Bossier City,Bossier Parish,900
Great Falls,MT,Great Falls,Cascade County,650
Castle Rock,CO,Denver-Aurora-Lakewood,Douglas County,1455
Gaithersburg,MD,Washington-Arlington-Alexandria,Montgomery County,1560
Pawtucket,RI,Providence-Warwick,Providence County,875
San Rafael,CA,San Francisco-Oakland-Hayward,Marin County,2237.5
Lauderhill,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1000
Glen Allen,VA,Richmond,Henrico County,1061.5
Fort Mill,SC,Charlotte-Concord-Gastonia,York County,1032
Cherry Hill,NJ,Philadelphia-Camden-Wilmington,Camden County,1440
Redondo Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2197.5
Framingham,MA,Boston-Cambridge-Newton,Middlesex County,1577
Bethesda,MD,Washington-Arlington-Alexandria,Montgomery County,2259.5
Union City,CA,San Francisco-Oakland-Hayward,Alameda County,2290
Ypsilanti,MI,Ann Arbor,Washtenaw County,896
